,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hypoestes triflora,Yes,Annual or perrenial herb,Yes (Abundant),Yes (Abundant),Flowering  from July to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa ciliata,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering  from February to April and January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa eckloniana,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from February to April and December to December to May ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa woodii,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering  from March to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia anagalloides,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering  from November to March and January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia matammensis,Yes,Annual herb,NI,Yes (Abundant),Flowering  from November to January and February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia eranthemoides,No,Perennial herb or a subshrub,NI,Yes (Abundant),Flowering  from November to January and February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia flava,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering  from November to March and January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia heterocarpa,Yes,Perrenial herb,Yes (Abundant),Yes (Poor),"Flowering all year round, but more after July to September up to January",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia protracta,Yes,Perrenial herb,Yes (Medium),Yes (Medium),Flowering  from November to March and January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Monechma divaricatum,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from March to June and April to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Monechma genistifolium,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from January to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Monechma incanum,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from February to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Peristrophe cernua,Yes,Perennial shrub,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Ruttya ovata,Yes,Perennial shrub,Yes (Poor),Yes (Abundant),Flowering  from February to March and November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia exigua,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Odontonema strictum,No,Perennial herb,NI,Yes (Abundant),NI,"Hummingbirds, butterflies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Asystacia gigantica,Yes,Perennial herb,NI,Yes (Abundant),NI,Butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Thunbergia affinis,Yes,Perennial shrub,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Ruttya fruticosa,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Ecbolium revolution,Yes,Perennial herb ,Yes (Abundant),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Bauhinia variegata,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Bauhinia monandra,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Crotolaria retusa,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Aeschynomene abyssinica,Yes,Subshrub or shrub,Yes (Abundant),Yes (Abundant),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Schrankia leptocarpa,No,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Caesalpinia decapetala,No,NI,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Erythrina senegalensis,Yes,NI,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Chamaecrista mimosoides,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from June to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Aeschynomene americana,No,"Annual, perennial or subshrub",Yes (Abundant),Yes (Abundant),Flowering from July to  January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Argyrolobium ramosissimum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Caesalpina decapetala,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Caesalpina spinosa,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Chamaecytisus proliferus,No,An attractive evergreen shrub or small tree,Yes (Medium),Yes (Abundant),Flowering from September to October and also from April to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Desmodium intortum,No,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Desmodium repandum,Yes,"A perennial herb or a slender shrub, branched perennial herb, bees collecting nectar+pollen",Yes (Abundant),Yes (Abundant),Flowering from December to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Dichrostachys cinera,Yes,A shrub or small tree,Yes (Abundant),Yes (Abundant),Flowering from February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Glycine wightii,Yes,A climbing perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Indigofera zavattarii,Yes,A perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lablab purpureus,Yes,A climbing perennial herb,Yes (Abundant),Yes (Abundant),Flowering from October to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lotus discolor,Yes,A perennial often bushy herb,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Macroptilium atropurpureum,No,A creeping perennial herb,Yes (Abundant),Yes (Abundant),Flowering from Decemberto to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lupinus angustifolius,No,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Medicago polymorpha,Yes,annual herb,Yes (Abundant),Yes (Abundant),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Medicago sativa,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowers from July to February or all year round under irrigation,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Melilotus suaveolens,No,Erect annual herb,Yes (Abundant),Yes (Abundant),Flowering from October to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Melilotus alba,Yes,Annual or perennial herb,Yes (Abundant),Yes (Abundant),Flowering from June to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Mimosa invisa,No,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Parochaetus communis,No,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Pterolobium stellatum,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from October to May and April to June,Bees and butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium acaule,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering throughout the year but especially from June to December,Bees and butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Scorpiurus muricatus,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from August to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium burchellianum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium calocephalum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowers most profusely at the end of the big rains from July to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium polystachyum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering profusely from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium rueppellianum,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium semipilosum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering plants are found throughout the year with the flowering peak from August to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium schimperi,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from August to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium simense,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Erect or creeping perennial herb,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium steudneri,Yes,Annual herb,Yes (Medium),Yes (Abundant),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Tylosema fassoglensis,Yes,Prennial herb,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Vicia dasycarpa,Yes,Prennial herb,Yes (Abundant),Yes (Abundant),Flowering from April to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Desmanthus virgatus,No,Perennial subshrub,Yes (Abundant),Yes (Abundant),Flowering after the big rains from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Vicia sativa,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from June to March with peaks peak from June to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Trifolium repens,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering after the rains (july-September),NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Stylosanthes guianensis,No,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering is after the rains when bees are foraging (July- September),NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Calliandra calothyrsus,No,Perennial tree or shrub growing,Yes (Abundant),Yes (Abundant),Flowering lasts several months,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Calliandra houstoniana,No,Perennial tree or shrub growing,Yes (Abundant),Yes (Abundant),May-Dec,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia abyssinica,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia mearnsii,No,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia angustissima,No,Perennial tree,Yes (Poor),Yes (Poor),July-December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia elatior,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia albida,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),July-December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia decurrens,No,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia dolichocephala,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),February-November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia lahai,Yes,Perennial tree,Yes (Medium),Yes (Medium,April-October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia drepanolobium,Yes,NI,NI,NI,April-June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia negrii,Yes,Perennial tree,Yes (Medium),Yes (Medium,August-October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia persiciflora,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),February-May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia pilispina,Yes,Perennial tree or shrub,Yes (Abundant),Yes (Abundant),July to December ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia polyacantha,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from April to June and sept-oct,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia senegal,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering trees may be found throughout the year with a flowering peak from April-May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia saligna,No,Perennial tree,Yes (Medium),Yes (Poor),Flowering from July to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia seyal,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from August to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia sieberiana,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from April to May after the small rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia tortilis,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia gummifera,Yes,Perennial tree,Yes (Abundant),Yes (Abundant), Flowering from January to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia zygia,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Brachystegia eurycoma,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Brachystegia boehmii ,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Brachystegia longifolia,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Brachystegia spiciformis,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Julbernardia paniculata,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Senna occidentalis,No,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Cryptosepalum exfoliatum subsp. pseudotaxus,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Dialium guineense,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Parkia biglobosa,Yes,Perennial tree,NI,Yes (Abundant),Yes (Abundant),NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia coriaria,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia lebbeck,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from November to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia schimperiana,Yes,Semi-decidous tree,Yes (Abundant),Yes (Abundant),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Albizia adianthifolia,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Erythrina abyssinica,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Erythrina brucei,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from November to February,"Bird, weevils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Leucaena leucocephala,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from November to February,"Bird, weevils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
